training_block.thisN,key_resp_21.rt,prod_image2_location,key_resp_23.rt,key_resp_19.keys,alt_image2_location,key_resp_4.keys,textbox_5.text,pretraining_plus_test.thisN,session,pretraining_loop.ran,stem,participant,file,key_resp_22.keys,key_resp_9.keys,demo_info.thisTrialN,key_resp_3.rt,key_resp_31.rt,textbox_7.text,alt_image2_size,forced_choice_block.thisN,prod_resp.text,__participant,production_block.thisN,production_block.ran,comp_label2_location,consent_resp_5.keys,key_resp_22.rt,key_resp_31.keys,test_loop.thisRepN,comp_image_location,suffix,prod_label,consent_resp_3.keys,consent_resp_2.rt,consent_resp_6.keys,key_resp_9.rt,image1,production_block.thisTrialN,key_resp_4.rt,pretraining_loop.thisN,key_resp_16.keys,key_resp_10.rt,prod_image2,consent_resp_6.rt,psychopyVersion,training_block.thisTrialN,pretraining_loop.thisIndex,production_block.thisIndex,pretraining_plus_test.ran,test_loop.thisIndex,image_size,key_resp_18.keys,consent_resp_4.rt,key_resp_26.rt,pretraining_loop.thisRepN,label,key_resp_20.rt,filepath,pretraining_plus_test.thisIndex,key_resp_3.keys,key_resp_20.keys,test_loop.thisN,prod_image2_size,key_resp_19.rt,training_block.thisRepN,frameRate,prod_condition,label1,pretraining,image_location,demo_info.ran,key_resp_23.keys,production_block.thisRepN,alt_image2,key_resp_15.keys,key_resp_16.rt,demo_info.thisIndex,key_resp_27.keys,alt_image1_location,comp_label1_location,suffix1,key_resp_21.keys,textbox_10.text,__session,key_resp_17.rt,demo_info.thisRepN,key_resp_13.rt,experiment_start_resp.rt,key_resp_11.rt,pretraining_loop.thisTrialN,alt_image1_size,training_block.thisIndex,key_resp_26.keys,forced_choice_block.thisTrialN,key_resp_28.rt,key_resp_14.keys,key_resp_30.rt,key_resp_29.keys,__datetime,consent_resp_5.rt,comp_condition_suffix,OS,comp_condition_stem,__experimentName,key_resp_13.keys,consent_resp_2.keys,key_resp_15.rt,key_resp_14.rt,key_resp_30.keys,experiment_start_resp.keys,pretraining_plus_test.thisRepN,stem_filename,label2,key_resp_27.rt,training_block.ran,comp_image,date,textbox_6.text,textbox_9.text,key_resp_10.keys,key_resp_29.rt,condition,key_resp_28.keys,test_loop.ran,alt_image1,consent_resp_3.rt,demo_info.thisN,consent_resp.rt,forced_choice_block.ran,forced_choice_block.thisRepN,comp_image_size,consent_resp_4.keys,key_resp_5.keys,pretraining_plus_test.thisTrialN,expName,suffix2,key_resp_5.rt,test_loop.thisTrialN,key_resp_18.rt,consent_resp.keys,forced_choice_block.thisIndex,key_resp_11.keys,key_resp_17.keys,textbox.text,prod_image1
﻿86,,,,,,,,,001,,bal,58885,1_dim_sg.PNG,,,,,,balnem,,,,181967,,,,,,,,,nem,,,,,,,,,,,,,,2022.2.5,14,,,,,"['0.20', '0.20']","[""b"",""a"",""l"",""n"",""e"",""m"",""return""]",,,,balnem,,stems_all/1_dim_sg.PNG,,,,,,,2,30.030030030027405,,,,,,,,,,,,,,,,,,001,,,,,,,,0,,,,,,,2024-04-08_20h41.06.879,,,Win32,,generalizability_mini,,,,,,,,1,,,1,,2024-04-08_20h41.33.162,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[1.2708000001907749,1.3855000000000928,1.5744999999999436,2.230000000000018,2.3426000003814806,2.4682000002860605,2.740500000000111]",,,,,,
﻿87,,,,,,,,,001,,berko,58885,2_dim_sg.PNG,,,,,,berkonem,,,,181967,,,,,,,,,nem,,,,,,,,,,,,,,2022.2.5,15,,,,,"['0.20', '0.20']","[""b"",""e"",""r"",""k"",""o"",""n"",""e"",""m"",""return""]",,,,berkonem,,stems_all/2_dim_sg.PNG,,,,,,,2,30.030030030027405,,,,,,,,,,,,,,,,,,001,,,,,,,,1,,,,,,,2024-04-08_20h41.06.879,,,Win32,,generalizability_mini,,,,,,,,2,,,1,,2024-04-08_20h41.33.162,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[1.298599999904809,1.379699999809418,1.4721999998093906,1.598300000190875,1.8115000000000236,2.2983000001909204,2.464599999904749,2.583300000190775,2.8716999998093797]",,,,,,
﻿88,,,,,,,,,001,,bal,58885,1_2.PNG,,,,,,baldan,,,,181967,,,,,,,,,dan,,,,,,,,,,,,,,2022.2.5,16,,,,,"['0.35', '0.35']","[""b"",""a"",""l"",""s"",""i"",""l"",""backspace"",""backspace"",""backspace"",""d"",""a"",""n"",""return""]",,,,baldan,,stems_all/1_2.PNG,,,,,,,2,30.030030030027405,,,,,,,,,,,,,,,,,,001,,,,,,,,13,,,,,,,2024-04-08_20h41.06.879,,,Win32,,generalizability_mini,,,,,,,,1,,,1,,2024-04-08_20h41.33.162,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[1.043200000286106,1.1639999999999873,1.3365000000001146,1.5322000002861387,1.6759999999999309,1.878500000000031,2.280800000190766,2.477099999904567,2.61790000009546,4.033599999904709,4.1310999999045634,4.271900000095457,4.743800000190731]",,,,,,
﻿89,,,,,,,,,001,,berko,58885,2_2.PNG,,,,,,berkodan,,,,181967,,,,,,,,,dan,,,,,,,,,,,,,,2022.2.5,17,,,,,"['0.35', '0.35']","[""b"",""e"",""r"",""k"",""o"",""d"",""a"",""n"",""return""]",,,,berkodan,,stems_all/2_2.PNG,,,,,,,2,30.030030030027405,,,,,,,,,,,,,,,,,,001,,,,,,,,16,,,,,,,2024-04-08_20h41.06.879,,,Win32,,generalizability_mini,,,,,,,,2,,,1,,2024-04-08_20h41.33.162,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[1.2150999999046235,1.3105999999047526,1.3945999999045853,1.5325999999047326,1.741400000095382,3.0973000001908986,3.1835999999048,3.3653000001907003,3.975500000000011]",,,,,,
﻿90,,,,,,,,,001,,nako,58885,4_dim_sg.PNG,,,,,,nakonem,,,,181967,,,,,,,,,nem,,,,,,,,,,,,,,2022.2.5,18,,,,,"['0.20', '0.20']","[""n"",""a"",""k"",""o"",""n"",""e"",""m"",""return""]",,,,nakonem,,stems_all/4_dim_sg.PNG,,,,,,,2,30.030030030027405,,,,,,,,,,,,,,,,,,001,,,,,,,,3,,,,,,,2024-04-08_20h41.06.879,,,Win32,,generalizability_mini,,,,,,,,4,,,1,,2024-04-08_20h41.33.162,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[2.282900000095424,2.3987999997139013,2.538799999713774,2.8015999999045107,3.2970000000000255,3.4341999998091524,3.566900000095302,3.9130999999047162]",,,,,,
﻿91,,,,,,,,,001,,kora,58885,3_2.PNG,,,,,,koradan,,,,181967,,,,,,,,,dan,,,,,,,,,,,,,,2022.2.5,19,,,,,"['0.35', '0.35']","[""l"",""backspace"",""j"",""backspace"",""k"",""o"",""r"",""a"",""d"",""a"",""n"",""return""]",,,,koradan,,stems_all/3_2.PNG,,,,,,,2,30.030030030027405,,,,,,,,,,,,,,,,,,001,,,,,,,,21,,,,,,,2024-04-08_20h41.06.879,,,Win32,,generalizability_mini,,,,,,,,3,,,1,,2024-04-08_20h41.33.162,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[1.2443999996185084,1.7494999999998981,2.3178999996184757,2.8624999999999545,3.2402999997138977,3.4335000000000946,3.566799999713794,3.6735000000001037,3.979099999904747,4.097199999809163,4.2970000000000255,4.674899999618447]",,,,,,
﻿92,,,,,,,,,001,,berko,58885,2_dim_sg.PNG,,,,,,berkoshoon,,,,181967,,,,,,,,,shoon,,,,,,,,,,,,,,2022.2.5,20,,,,,"['0.20', '0.20']","[""b"",""e"",""r"",""k"",""o"",""s"",""h"",""o"",""o"",""n"",""return""]",,,,berkoshoon,,stems_all/2_dim_sg.PNG,,,,,,,2,30.030030030027405,,,,,,,,,,,,,,,,,,001,,,,,,,,34,,,,,,,2024-04-08_20h41.06.879,,,Win32,,generalizability_mini,,,,,,,,2,,,1,,2024-04-08_20h41.33.162,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[1.3962000002861714,1.533599999904709,1.6139000000953274,1.7413000001906767,1.9420000000000073,2.3085000000000946,2.695500000000038,2.9027000002861314,3.048300000190693,3.241400000095382,3.7740999999045926]",,,,,,
﻿93,,,,,,,,,001,,kora,58885,3_2.PNG,,,,,,koradan,,,,181967,,,,,,,,,dan,,,,,,,,,,,,,,2022.2.5,21,,,,,"['0.35', '0.35']","[""k"",""o"",""r"",""a"",""d"",""a"",""n"",""return""]",,,,koradan,,stems_all/3_2.PNG,,,,,,,2,30.030030030027405,,,,,,,,,,,,,,,,,,001,,,,,,,,22,,,,,,,2024-04-08_20h41.06.879,,,Win32,,generalizability_mini,,,,,,,,3,,,1,,2024-04-08_20h41.33.162,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[1.094900000095322,1.2788000001905857,1.4067000002860368,1.6298000001906985,1.9424000000954038,2.060999999999922,2.2000999999045234,2.572499999999991]",,,,,,
﻿94,,,,,,,,,001,,berko,58885,2_2.PNG,,,,,,berkodan,,,,181967,,,,,,,,,dan,,,,,,,,,,,,,,2022.2.5,22,,,,,"['0.35', '0.35']","[""b"",""e"",""r"",""k"",""o"",""d"",""a"",""n"",""return""]",,,,berkodan,,stems_all/2_2.PNG,,,,,,,2,30.030030030027405,,,,,,,,,,,,,,,,,,001,,,,,,,,19,,,,,,,2024-04-08_20h41.06.879,,,Win32,,generalizability_mini,,,,,,,,2,,,1,,2024-04-08_20h41.33.162,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[1.2116000003813951,1.3684000000953347,1.4432000002859695,1.5739000000953638,1.798400000095171,2.1027000002859495,2.2301000003812987,2.3761000003814843,2.7131000003814734]",,,,,,
﻿95,,,,,,,,,001,,bal,58885,1_dim_sg.PNG,,,,,,balshoon,,,,181967,,,,,,,,,shoon,,,,,,,,,,,,,,2022.2.5,23,,,,,"['0.20', '0.20']","[""b"",""a"",""l"",""s"",""h"",""o"",""o"",""n"",""return""]",,,,balshoon,,stems_all/1_dim_sg.PNG,,,,,,,2,30.030030030027405,,,,,,,,,,,,,,,,,,001,,,,,,,,27,,,,,,,2024-04-08_20h41.06.879,,,Win32,,generalizability_mini,,,,,,,,1,,,1,,2024-04-08_20h41.33.162,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[1.2097999997138231,1.3675000000000637,1.5419000000954384,2.2354000000952965,2.4379000000953965,2.679400000095484,2.8170999999047126,3.0435999999047,3.4105999999046617]",,,,,,
﻿96,,,,,,,,,001,,bal,58885,1_dim_sg.PNG,,,,,,balshoon,,,,181967,,,,,,,,,shoon,,,,,,,,,,,,,,2022.2.5,24,,,,,"['0.20', '0.20']","[""b"",""a"",""l"",""s"",""h"",""o"",""o"",""n"",""apostrophe"",""backspace"",""return""]",,,,balshoon,,stems_all/1_dim_sg.PNG,,,,,,,2,30.030030030027405,,,,,,,,,,,,,,,,,,001,,,,,,,,33,,,,,,,2024-04-08_20h41.06.879,,,Win32,,generalizability_mini,,,,,,,,1,,,1,,2024-04-08_20h41.33.162,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[1.3313000001908222,1.434100000381477,1.6807000002861514,2.2994000000953747,2.682400000095413,2.9636000003815752,3.1076000003815807,3.312400000095522,3.668900000095391,4.249900000095522,4.729300000190733]",,,,,,
﻿97,,,,,,,,,001,,berko,58885,2_2.PNG,,,,,,berkosil,,,,181967,,,,,,,,,sil,,,,,,,,,,,,,,2022.2.5,25,,,,,"['0.35', '0.35']","[""b"",""e"",""r"",""k"",""o"",""s"",""i"",""l"",""return""]",,,,berkosil,,stems_all/2_2.PNG,,,,,,,2,30.030030030027405,,,,,,,,,,,,,,,,,,001,,,,,,,,31,,,,,,,2024-04-08_20h41.06.879,,,Win32,,generalizability_mini,,,,,,,,2,,,1,,2024-04-08_20h41.33.162,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[1.266299999713965,1.5357999997140723,1.631299999713974,2.0681999998093943,2.4096999998093906,3.2510999999046817,3.4384999999999764,3.64909999990482,3.938000000000102]",,,,,,
﻿98,,,,,,,,,001,,berko,58885,2_dim_sg.PNG,,,,,,berkoshoon,,,,181967,,,,,,,,,shoon,,,,,,,,,,,,,,2022.2.5,26,,,,,"['0.20', '0.20']","[""b"",""e"",""r"",""k"",""s"",""backspace"",""o"",""s"",""h"",""o"",""o"",""n"",""return""]",,,,berkoshoon,,stems_all/2_dim_sg.PNG,,,,,,,2,30.030030030027405,,,,,,,,,,,,,,,,,,001,,,,,,,,28,,,,,,,2024-04-08_20h41.06.879,,,Win32,,generalizability_mini,,,,,,,,2,,,1,,2024-04-08_20h41.33.162,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[1.866400000095382,1.9439000000952547,2.0328000001907185,2.198400000095262,2.39709999990464,3.1311999998092688,3.4353000001906366,3.5844999999999345,3.8364999999998872,3.999199999809207,4.165300000190655,4.371499999999969,5.101300000190804]",,,,,,
﻿99,,,,,,,,,001,,berko,58885,2_2.PNG,,,,,,berkosil,,,,181967,,,,,,,,,sil,,,,,,,,,,,,,,2022.2.5,27,,,,,"['0.35', '0.35']","[""b"",""e"",""r"",""k"",""o"",""s"",""i"",""l"",""return""]",,,,berkosil,,stems_all/2_2.PNG,,,,,,,2,30.030030030027405,,,,,,,,,,,,,,,,,,001,,,,,,,,25,,,,,,,2024-04-08_20h41.06.879,,,Win32,,generalizability_mini,,,,,,,,2,,,1,,2024-04-08_20h41.33.162,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[4.932800000190809,5.0466000003814315,5.1310000000000855,5.2763000001907585,5.831600000381513,6.300600000381564,6.430900000095335,6.678300000190802,8.240700000286097]",,,,,,
﻿100,,,,,,,,,001,,kora,58885,3_2.PNG,,,,,,korasil,,,,181967,,,,,,,,,sil,,,,,,,,,,,,,,2022.2.5,28,,,,,"['0.35', '0.35']","[""k"",""o"",""r"",""a"",""s"",""i"",""l"",""return""]",,,,korasil,,stems_all/3_2.PNG,,,,,,,2,30.030030030027405,,,,,,,,,,,,,,,,,,001,,,,,,,,26,,,,,,,2024-04-08_20h41.06.879,,,Win32,,generalizability_mini,,,,,,,,3,,,1,,2024-04-08_20h41.33.162,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[6.603300000190757,6.872700000286159,7.146200000286171,7.275300000190782,7.736700000286191,7.936700000286237,8.20430000019087,9.38360000038142]",,,,,,
﻿101,,,,,,,,,001,,kora,58885,3_dim_sg.PNG,,,,,,koranem,,,,181967,,,,,,,,,nem,,,,,,,,,,,,,,2022.2.5,29,,,,,"['0.20', '0.20']","[""k"",""o"",""r"",""a"",""n"",""e"",""m"",""return""]",,,,koranem,,stems_all/3_dim_sg.PNG,,,,,,,2,30.030030030027405,,,,,,,,,,,,,,,,,,001,,,,,,,,2,,,,,,,2024-04-08_20h41.06.879,,,Win32,,generalizability_mini,,,,,,,,3,,,1,,2024-04-08_20h41.33.162,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[2.3680999999046435,2.568899999618452,2.680899999618532,2.8068999996185084,3.0950000000000273,3.239799999713796,3.4008999996185594,3.705399999618521]",,,,,,
﻿102,,,,,,,,,001,,mero,58885,12_dim_sg.PNG,,,,,,meronem,,,,181967,,,,,,,,,nem,,,,,,,,,,,,,,2022.2.5,30,,,,,"['0.20', '0.20']","[""n"",""e"",""m"",""o"",""backspace"",""backspace"",""backspace"",""backspace"",""backspace"",""m"",""e"",""r"",""o"",""n"",""e"",""m"",""return""]",,,,meronem,,stems_all/12_dim_sg.PNG,,,,,,,2,30.030030030027405,,,,,,,,,,,,,,,,,,001,,,,,,,,11,,,,,,,2024-04-08_20h41.06.879,,,Win32,,generalizability_mini,,,,,,,,12,,,1,,2024-04-08_20h41.33.162,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[1.4305999999046435,1.514199999809307,1.7024000000953947,1.9329000000952874,2.3799999999998818,2.5388000001905766,2.6743000001906694,2.798000000000002,2.914400000095384,3.40949999999998,3.503800000190722,3.6334999999999127,3.7648000001906894,3.977699999809147,4.065900000095326,4.197599999904469,5.1310999999045634]",,,,,,
﻿103,,,,,,,,,001,,bal,58885,1_2.PNG,,,,,,balsil,,,,181967,,,,,,,,,sil,,,,,,,,,,,,,,2022.2.5,31,,,,,"['0.35', '0.35']","[""b"",""a"",""l"",""s"",""i"",""l"",""return""]",,,,balsil,,stems_all/1_2.PNG,,,,,,,2,30.030030030027405,,,,,,,,,,,,,,,,,,001,,,,,,,,24,,,,,,,2024-04-08_20h41.06.879,,,Win32,,generalizability_mini,,,,,,,,1,,,1,,2024-04-08_20h41.33.162,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[1.4747999997139232,1.5760000000000218,1.744799999713905,2.0087999997138013,2.182899999618485,2.429599999904667,2.7177999997138613]",,,,,,
﻿104,,,,,,,,,001,,kora,58885,3_2.PNG,,,,,,korasil,,,,181967,,,,,,,,,sil,,,,,,,,,,,,,,2022.2.5,32,,,,,"['0.35', '0.35']","[""b"",""o"",""r"",""a"",""backspace"",""backspace"",""backspace"",""backspace"",""backspace"",""k"",""o"",""r"",""a"",""s"",""i"",""l"",""return""]",,,,korasil,,stems_all/3_2.PNG,,,,,,,2,30.030030030027405,,,,,,,,,,,,,,,,,,001,,,,,,,,32,,,,,,,2024-04-08_20h41.06.879,,,Win32,,generalizability_mini,,,,,,,,3,,,1,,2024-04-08_20h41.33.162,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[9.432900000095287,9.700400000095215,9.90099999999984,9.96309999990467,10.433800000190786,10.584699999809118,10.714099999904647,10.834499999999935,10.942400000095404,11.436400000095318,11.768800000190595,11.874099999904502,12.065499999999929,12.569699999809245,12.77919999980918,12.97259999990456,13.51949999999988]",,,,,,
﻿105,,,,,,,,,001,,kora,58885,3_dim_sg.PNG,,,,,,korashoon,,,,181967,,,,,,,,,shoon,,,,,,,,,,,,,,2022.2.5,33,,,,,"['0.20', '0.20']","[""k"",""o"",""r"",""a"",""s"",""h"",""o"",""o"",""n"",""return""]",,,,korashoon,,stems_all/3_dim_sg.PNG,,,,,,,2,30.030030030027405,,,,,,,,,,,,,,,,,,001,,,,,,,,29,,,,,,,2024-04-08_20h41.06.879,,,Win32,,generalizability_mini,,,,,,,,3,,,1,,2024-04-08_20h41.33.162,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[1.607599999904778,1.8313000001908222,2.0410000000001673,2.318200000286197,2.729900000095313,2.8769999999999527,3.1047000002861296,3.2495999999046035,3.4370000000001255,5.1645999999047945]",,,,,,
﻿106,,,,,,,,,001,,bal,58885,1_2.PNG,,,,,,baldan,,,,181967,,,,,,,,,dan,,,,,,,,,,,,,,2022.2.5,34,,,,,"['0.35', '0.35']","[""b"",""a"",""l"",""d"",""o"",""backspace"",""a"",""n"",""return""]",,,,baldan,,stems_all/1_2.PNG,,,,,,,2,30.030030030027405,,,,,,,,,,,,,,,,,,001,,,,,,,,15,,,,,,,2024-04-08_20h41.06.879,,,Win32,,generalizability_mini,,,,,,,,1,,,1,,2024-04-08_20h41.33.162,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[2.039100000381495,2.6964000000953092,2.864300000190724,2.96349999999984,3.1413000001907676,4.108700000286035,4.233100000381455,4.444300000190651,4.737400000095249]",,,,,,
﻿107,,,,,,,,,001,,kora,58885,3_2.PNG,,,,,,koradan,,,,181967,,,,,,,,,dan,,,,,,,,,,,,,,2022.2.5,35,,,,,"['0.35', '0.35']","[""k"",""o"",""r"",""a"",""d"",""a"",""n"",""return""]",,,,koradan,,stems_all/3_2.PNG,,,,,,,2,30.030030030027405,,,,,,,,,,,,,,,,,,001,,,,,,,,23,,,,,,,2024-04-08_20h41.06.879,,,Win32,,generalizability_mini,,,,,,,,3,,,1,,2024-04-08_20h41.33.162,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[2.6625000000001364,2.8361999998094234,2.9427999997139977,3.0664000000954275,3.700400000095442,3.8164000000954275,3.9635999999047726,4.282500000000027]",,,,,,
﻿108,,,,,,,,,001,,berko,58885,2_2.PNG,,,,,,berkodan,,,,181967,,,,,,,,,dan,,,,,,,,,,,,,,2022.2.5,0,,,,,"['0.35', '0.35']","[""b"",""backspace"",""backspace"",""backspace"",""b"",""e"",""r"",""k"",""o"",""d"",""a"",""n"",""return""]",,,,berkodan,,stems_all/2_2.PNG,,,,,,,3,30.030030030027405,,,,,,,,,,,,,,,,,,001,,,,,,,,19,,,,,,,2024-04-08_20h41.06.879,,,Win32,,generalizability_mini,,,,,,,,2,,,1,,2024-04-08_20h41.33.162,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[1.2430000000001655,1.7650999999048054,1.898599999904718,2.0368000001908513,2.441800000190824,2.5125000000000455,2.63090000009538,2.733400000095344,2.910099999904787,3.147300000190853,3.2433000001908567,3.3845999999045944,3.694800000190753]",,,,,,
﻿109,,,,,,,,,001,,bin,58885,11_dim_sg.PNG,,,,,,binnem,,,,181967,,,,,,,,,nem,,,,,,,,,,,,,,2022.2.5,1,,,,,"['0.20', '0.20']","[""b"",""i"",""n"",""n"",""e"",""m"",""return""]",,,,binnem,,stems_all/11_dim_sg.PNG,,,,,,,3,30.030030030027405,,,,,,,,,,,,,,,,,,001,,,,,,,,10,,,,,,,2024-04-08_20h41.06.879,,,Win32,,generalizability_mini,,,,,,,,11,,,1,,2024-04-08_20h41.33.162,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[1.4320000000000164,2.0093000001907058,2.245800000190684,2.409600000381488,2.8458000001908204,2.986400000095273,3.30600000000004]",,,,,,
﻿110,,,,,,,,,001,,berko,58885,2_2.PNG,,,,,,berkodan,,,,181967,,,,,,,,,dan,,,,,,,,,,,,,,2022.2.5,2,,,,,"['0.35', '0.35']","[""b"",""e"",""r"",""k"",""o"",""d"",""a"",""n"",""return""]",,,,berkodan,,stems_all/2_2.PNG,,,,,,,3,30.030030030027405,,,,,,,,,,,,,,,,,,001,,,,,,,,18,,,,,,,2024-04-08_20h41.06.879,,,Win32,,generalizability_mini,,,,,,,,2,,,1,,2024-04-08_20h41.33.162,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[1.0782000002859604,1.2318000001905602,1.306999999999789,1.510900000095262,1.7765999999044197,2.250400000095169,2.3812000002860714,2.538900000095282,2.8964999999998327]",,,,,,
﻿111,,,,,,,,,001,,pipa,58885,5_dim_sg.PNG,,,,,,pipanem,,,,181967,,,,,,,,,nem,,,,,,,,,,,,,,2022.2.5,3,,,,,"['0.20', '0.20']","[""p"",""i"",""p"",""a"",""n"",""e"",""m"",""return""]",,,,pipanem,,stems_all/5_dim_sg.PNG,,,,,,,3,30.030030030027405,,,,,,,,,,,,,,,,,,001,,,,,,,,4,,,,,,,2024-04-08_20h41.06.879,,,Win32,,generalizability_mini,,,,,,,,5,,,1,,2024-04-08_20h41.33.162,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[1.6331999998092215,1.8369000000952838,2.0609000000952165,2.2091999998092433,2.4721999998091633,2.6116999998091615,2.766800000190642,3.0635999999046817]",,,,,,
﻿112,,,,,,,,,001,,kora,58885,3_2.PNG,,,,,,koradan,,,,181967,,,,,,,,,dan,,,,,,,,,,,,,,2022.2.5,4,,,,,"['0.35', '0.35']","[""k"",""o"",""r"",""a"",""d"",""a"",""n"",""return""]",,,,koradan,,stems_all/3_2.PNG,,,,,,,3,30.030030030027405,,,,,,,,,,,,,,,,,,001,,,,,,,,21,,,,,,,2024-04-08_20h41.06.879,,,Win32,,generalizability_mini,,,,,,,,3,,,1,,2024-04-08_20h41.33.162,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[1.209200000286046,1.429800000190653,1.5747000002861569,1.6994000000954657,2.1790000000000873,2.2982000002859877,2.4449000000954584,3.692200000285993]",,,,,,
﻿113,,,,,,,,,001,,bal,58885,1_2.PNG,,,,,,baldan,,,,181967,,,,,,,,,dan,,,,,,,,,,,,,,2022.2.5,5,,,,,"['0.35', '0.35']","[""b"",""a"",""l"",""d"",""a"",""n"",""return""]",,,,baldan,,stems_all/1_2.PNG,,,,,,,3,30.030030030027405,,,,,,,,,,,,,,,,,,001,,,,,,,,15,,,,,,,2024-04-08_20h41.06.879,,,Win32,,generalizability_mini,,,,,,,,1,,,1,,2024-04-08_20h41.33.162,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[2.3141999998092615,2.4349999999999454,2.6009000000954074,2.70049999999992,2.7780999999047253,2.913199999809194,3.2061999998093142]",,,,,,
﻿114,,,,,,,,,001,,kora,58885,3_dim_sg.PNG,,,,,,koranem,,,,181967,,,,,,,,,nem,,,,,,,,,,,,,,2022.2.5,6,,,,,"['0.20', '0.20']","[""k"",""o"",""r"",""a"",""n"",""e"",""m"",""return""]",,,,koranem,,stems_all/3_dim_sg.PNG,,,,,,,3,30.030030030027405,,,,,,,,,,,,,,,,,,001,,,,,,,,2,,,,,,,2024-04-08_20h41.06.879,,,Win32,,generalizability_mini,,,,,,,,3,,,1,,2024-04-08_20h41.33.162,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[1.2294999999999163,1.418200000286106,1.5392000002862005,1.648800000190704,2.261500000000069,2.3684000000953347,2.4977000002861587,2.868600000381548]",,,,,,
﻿115,,,,,,,,,001,,kora,58885,3_dim_sg.PNG,,,,,,korashoon,,,,181967,,,,,,,,,shoon,,,,,,,,,,,,,,2022.2.5,7,,,,,"['0.20', '0.20']","[""k"",""o"",""r"",""a"",""s"",""h"",""o"",""o"",""n"",""return""]",,,,korashoon,,stems_all/3_dim_sg.PNG,,,,,,,3,30.030030030027405,,,,,,,,,,,,,,,,,,001,,,,,,,,35,,,,,,,2024-04-08_20h41.06.879,,,Win32,,generalizability_mini,,,,,,,,3,,,1,,2024-04-08_20h41.33.162,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[3.0983999996185503,3.579399999618545,3.7649999999998727,3.836699999809298,4.532199999809109,4.773599999904491,5.044699999809154,5.198099999904571,5.4321999998092,5.795299999713734]",,,,,,
﻿116,,,,,,,,,001,,kudom,58885,8_dim_sg.PNG,,,,,,kudomnem,,,,181967,,,,,,,,,nem,,,,,,,,,,,,,,2022.2.5,8,,,,,"['0.20', '0.20']","[""k"",""u"",""d"",""o"",""m"",""n"",""e"",""m"",""return""]",,,,kudomnem,,stems_all/8_dim_sg.PNG,,,,,,,3,30.030030030027405,,,,,,,,,,,,,,,,,,001,,,,,,,,7,,,,,,,2024-04-08_20h41.06.879,,,Win32,,generalizability_mini,,,,,,,,8,,,1,,2024-04-08_20h41.33.162,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[2.530699999809258,2.772300000190853,2.9664999999999964,3.142800000190846,3.3704000000955148,4.114800000190826,4.2365999999046835,4.352800000190882,4.639300000190815]",,,,,,
﻿117,,,,,,,,,001,,bal,58885,1_dim_sg.PNG,,,,,,balshoon,,,,181967,,,,,,,,,shoon,,,,,,,,,,,,,,2022.2.5,9,,,,,"['0.20', '0.20']","[""b"",""a"",""semicolon"",""backspace"",""l"",""s"",""h"",""o"",""o"",""n"",""return""]",,,,balshoon,,stems_all/1_dim_sg.PNG,,,,,,,3,30.030030030027405,,,,,,,,,,,,,,,,,,001,,,,,,,,33,,,,,,,2024-04-08_20h41.06.879,,,Win32,,generalizability_mini,,,,,,,,1,,,1,,2024-04-08_20h41.33.162,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[1.783300000190593,2.0580999999044707,2.2175999999044507,3.2793000001906876,3.638699999809205,3.7834000000952983,4.264099999904602,4.518800000190595,4.668999999999869,4.901699999809125,5.3613000001905675]",,,,,,
